gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	Mean Missense MGAEntropy	Mean VEST Score	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree	oncogene score	tsg score	other score	driver score	majority vote class	majority vote cancer gene	training list class	oncogene p-value	oncogene q-value	tsg p-value	tsg q-value	driver p-value	driver q-value
GNAS	3114	0.011904761904761904	0.0	0.011904761904761904	0.9642857142857144	0.7857142857142857	0.22315798121534167	0.0	0.011904761904761904	0.25705084807836737	0.3081001611150245	0.8844047619047621	0.0	40.5	41.5	0.8928571428571429	0.0	0.0	2.402585092994044e-09	1025539.0	416.0	0.01090913	0.000543495643825403	61.0	0.9390000000000001	0.035	0.025999999999999912	0.9740000000000001	1	1	1	0.0	0.0	0.7800762631077216	0.8856060606060605	0.0	0.0
SMARCB1	1158	0.0641025641025641	0.21794871794871795	0.07692307692307693	0.3076923076923077	0.05128205128205128	0.9272985693381558	0.2948717948717949	0.038461538461538464	0.451642017406677	0.4050847912178749	0.8442051282051284	0.0	4.0	12.166666666666664	0.0	0.013025751911529094	0.9018770108504514	0.06395529976797806	637355.2	196.0	0.05239067	0.0006713941893489593	114.0	0.007000000000000001	0.967	0.026000000000000023	0.974	2	1	2	0.9979027645376548	0.9999046711153481	0.0	0.0	0.0	0.0
CTNNB1	2346	0.018433179723502304	0.027649769585253458	0.0	0.8894009216589862	0.7188940092165899	0.5240801675356449	0.0	0.06451612903225806	0.5438942581408649	0.25872732269487586	0.7569769585253454	0.0	38.6	42.6	1.0	0.0	0.0	2.402585092994044e-09	305811.2	448.0	0.007941789	0.005164633998025578	276.0	0.925	0.048	0.026999999999999913	0.9730000000000001	1	1	1	0.0	0.0	0.6814108674928503	0.8489311163895487	0.0	0.0
SMARCA4	5040	0.04830917874396135	0.11594202898550725	0.03864734299516908	0.5893719806763285	0.10144927536231883	0.9464440720059396	0.1642512077294686	0.043478260869565216	0.6905949625354905	0.3605445419690661	0.7922028985507245	0.0	11.090909090909092	17.90909090909091	0.0	1e-05	0.0	2.402585092994044e-09	1984564.0	190.0	0.04046629	0.0011947079100357114	199.0	0.05700000000000001	0.9139999999999999	0.029000000000000026	0.971	2	1	2	0.7674928503336511	0.9999046711153481	0.0	0.0	0.0	0.0
RUNX1	1443	0.011695906432748536	0.08771929824561403	0.023391812865497075	0.47953216374269	0.21052631578947367	0.8319155671143784	0.3625730994152047	0.03508771929824561	0.5059624701828089	0.3998858030394513	0.8818888888888888	0.0	27.33333333333333	56.33333333333334	0.0	0.0	0.0	2.402585092994044e-09	164915.0	429.0	0.04466899	0.00022823693564308573	70.0	0.154	0.8160000000000001	0.029999999999999916	0.9700000000000001	2	1	2	0.2809342230695901	0.9999046711153481	9.532888465204957e-05	0.0016129032258064514	0.0	0.0
BAP1	2190	0.054054054054054064	0.10810810810810813	0.054054054054054064	0.581081081081081	0.0	1.0	0.16216216216216214	0.040540540540540536	0.7458234991540775	0.5346151730588371	0.7220000000000001	0.0	8.6	14.0	4e-05	1.0	0.04433213636565146	0.18247308769180293	1078407.0	229.0	0.06225371	0.00029951597075820845	45.0	0.020999999999999998	0.9490000000000001	0.029999999999999916	0.9700000000000001	2	1	2	0.9701620591039084	0.9999046711153481	0.0	0.0	0.0	0.0
MYD88	954	0.017241379310344827	0.0	0.0	0.9655172413793104	0.6551724137931034	0.3867959307410494	0.017241379310344827	0.0	0.4071711571097144	0.5108799631575721	0.8076379310344824	0.0	28.0	28.5	1.0	0.0	0.0	2.402585092994044e-09	302137.4	411.0	0.03160935	0.0003833486115974911	57.0	0.9450000000000001	0.024	0.030999999999999917	0.9690000000000001	1	1	1	0.0	0.0	0.8805529075309819	0.9264794383149448	0.0	0.0
TNFAIP3	2373	0.012195121951219513	0.18292682926829268	0.07317073170731707	0.4878048780487805	0.0	1.0	0.23170731707317074	0.012195121951219513	0.5801476393619254	0.7895912336389	0.7191585365853659	0.0	20.0	40.5	0.0	1.0	0.8064516129032258	0.9799285319491496	315945.9	256.0	0.0511319	0.00038144957085001717	78.0	0.005	0.962	0.03300000000000003	0.967	2	1	2	0.9989513822688274	0.9999046711153481	0.0	0.0	0.0	0.0
PTEN	1212	0.0	0.21666666666666667	0.05416666666666667	0.4083333333333333	0.1875	0.7807070379698221	0.3	0.02083333333333333	0.3970476158084814	0.3112457772543879	0.945025	0.0	98.0	240.0	0.0	0.0	0.02603	4.206820495793415e-06	259677.5	300.0	0.03373138	0.000787944224188437	90.0	0.030999999999999993	0.9350000000000002	0.03399999999999981	0.9660000000000002	2	1	2	0.9301239275500476	0.9999046711153481	0.0	0.0	0.0	0.0
ETV6	1359	0.05	0.11666666666666667	0.08333333333333333	0.5333333333333333	0.05	0.9702819531114784	0.2	0.016666666666666666	0.6648152255497766	0.5477390102446248	0.7531166666666667	0.0	8.0	14.25	4e-05	0.32651824928063	0.15144631228229594	0.1981358789098137	233493.0	629.0	0.03109082	0.00010957918529930673	32.0	0.027000000000000003	0.9380000000000001	0.03499999999999992	0.9650000000000001	2	1	0	0.9434699714013346	0.9999046711153481	0.0	0.0	0.0	0.0
PBRM1	4749	0.010416666666666666	0.21875	0.02083333333333333	0.5625	0.03125	0.9846993582013228	0.1875	0.0	0.641837811549944	0.5408448368126298	0.7394270833333333	0.0	27.0	47.5	1e-05	0.4640371229698376	0.6807424593967517	0.6799091257354337	1217701.0	231.0	0.04747089	0.00015959522132633566	36.0	0.012	0.953	0.03500000000000003	0.965	2	1	2	0.9917063870352716	0.9999046711153481	0.0	0.0	0.0	0.0
RB1	2787	0.022421524663677132	0.336322869955157	0.09865470852017937	0.19730941704035876	0.0	1.0	0.33183856502242154	0.01345291479820628	0.2635047318706037	0.6188398157772728	0.9003766816143497	0.0	7.333333333333332	36.333333333333336	0.0	1.0	1.0	1.0	349930.1	450.0	0.04105748	0.0017893526237117094	211.0	0.007000000000000001	0.958	0.03500000000000003	0.965	2	1	2	0.9979027645376548	0.9999046711153481	0.0	0.0	0.0	0.0
ERBB2	3768	0.022900763358778626	0.015267175572519085	0.0	0.9083969465648856	0.36641221374045796	0.7973065573768381	0.015267175572519085	0.03816793893129771	0.783024840710547	0.6153262750458657	0.6084885496183204	0.0	29.75	32.0	0.9784735812133072	0.0	0.0	2.402585092994044e-09	1284992.0	226.0	0.03763767	0.0006619838994493972	122.0	0.9020000000000001	0.05800000000000001	0.039999999999999813	0.9600000000000002	1	1	1	0.0	0.0	0.6169685414680648	0.8110275689223057	0.0	0.0
ARID1A	6858	0.02432432432432433	0.20270270270270271	0.016216216216216217	0.2756756756756757	0.0	1.0	0.4351351351351351	0.04594594594594595	0.3677232693684072	0.4611115387537943	0.8526945945945945	0.0	10.2	36.1	0.0	1.0	0.9208103130755064	0.9967782886848467	975965.1	182.0	0.02749164	0.00010715271733528008	52.0	0.002	0.9559999999999998	0.04200000000000015	0.9579999999999999	2	1	2	0.9999046711153481	0.9999046711153481	0.0	0.0	0.0	0.0
NRAS	570	0.0111731843575419	0.0	0.00558659217877095	0.9776536312849162	0.888268156424581	0.3083335102098115	0.0	0.00558659217877095	0.3181438533863336	0.2608862842067837	0.9007653631284902	0.0	58.33333333333334	59.0	1.0	0.0	0.0	2.402585092994044e-09	600650.2	472.0	0.01059793	3.590398640448545e-05	18.0	0.9190000000000002	0.032	0.04899999999999982	0.9510000000000002	1	1	1	0.0	0.0	0.8065776930409915	0.8915700737618547	0.0	0.0
SETD2	7695	0.03553299492385787	0.16243654822335024	0.015228426395939087	0.6142131979695431	0.0	1.0	0.16243654822335024	0.01015228426395939	0.7226668562790581	0.6768324577803638	0.5899949238578679	0.0	15.125	23.75	0.0	1.0	0.5288207297726071	0.8657354784115919	593886.2	365.0	0.04604902	5.141734114356776e-05	24.0	0.006999999999999999	0.944	0.049000000000000044	0.951	2	1	2	0.9981887511916112	0.9999046711153481	0.0	0.0	0.0	0.0
KDM6A	4206	0.0076335877862595426	0.18320610687022898	0.11450381679389313	0.4198473282442748	0.022900763358778626	0.9850463378299932	0.2442748091603053	0.03053435114503817	0.5057547187319962	0.5252536630831091	0.846236641221374	0.0	27.5	65.0	0.0	0.37579857196542654	0.5685832393836904	0.5434359948256353	59340.0	446.80162767039667	0.03567596	0.0001187769329650061	23.0	0.009	0.9419999999999998	0.049000000000000155	0.9509999999999998	2	1	2	0.9968541468064824	0.9999046711153481	0.0	0.0	0.0	0.0
FBXW7	2124	0.013888888888888888	0.14583333333333334	0.02083333333333333	0.7013888888888888	0.4097222222222222	0.6625139860938748	0.08333333333333333	0.034722222222222224	0.5848018333147627	0.2973425504288713	0.8645138888888891	0.0	33.666666666666664	47.33333333333334	0.00253	0.0	0.0	2.402585092994044e-09	117295.2	501.0	0.05094051	0.0008262700665131521	96.0	0.17800000000000002	0.772	0.04999999999999993	0.9500000000000001	2	1	2	0.21649189704480454	0.9999046711153481	9.532888465204957e-05	0.0016129032258064514	0.0	0.0
NF2	1788	0.008620689655172414	0.3793103448275862	0.09482758620689656	0.27586206896551724	0.0	1.0	0.2327586206896552	0.008620689655172414	0.33965778684578396	0.5488104603030314	0.8816206896551724	0.0	16.0	57.5	0.0	1.0	0.998003992015968	0.9999980066493744	734741.6	149.0	0.03782316	0.00021401500506066246	43.0	0.004	0.946	0.050000000000000044	0.95	2	1	2	0.9992373689227836	0.9999046711153481	0.0	0.0	0.0	0.0
KMT2D	16614	0.03696857670979668	0.1534195933456562	0.018484288354898338	0.5582255083179297	0.0	1.0	0.19963031423290206	0.033271719038817	0.6648148636144873	0.6322110008914528	0.6250702402957488	0.0	14.38095238095238	24.809523809523807	0.0	1.0	0.033885669750262616	0.1485806334993301	1770671.0	214.0	0.06520138	1.6687782959734534e-05	26.0	0.003	0.946	0.051000000000000045	0.949	2	1	2	0.9995233555767398	0.9999046711153481	0.0	0.0	0.0	0.0
TP53	1182	0.0048209366391184574	0.12534435261707988	0.04958677685950413	0.6701101928374655	0.2320936639118457	0.7923526539953585	0.12809917355371903	0.02203856749311295	0.4860185371410713	0.5007368198961061	0.9012747933884312	0.0	121.625	180.625	0.0	0.34633	0.0	4.7008370637673406e-05	2069567.0	213.0	0.03424378	0.01650461932601047	833.0	0.08	0.868	0.052000000000000046	0.948	2	1	2	0.6059103908484271	0.9999046711153481	0.0	0.0	0.0	0.0
FGFR1	2562	0.06896551724137931	0.03448275862068965	0.0	0.8505747126436781	0.3563218390804598	0.7363558592584633	0.02298850574712644	0.011494252873563218	0.7454846756233997	0.4064782617837432	0.5911034482758621	0.011494252873563218	10.571428571428571	11.571428571428573	0.5750431282346176	0.0	0.0007099999999999999	1.4031851447558368e-07	841062.1	381.0	0.04749547	0.0002704401658439589	44.0	0.8960000000000001	0.051000000000000004	0.052999999999999825	0.9470000000000002	1	1	0	0.0	0.0	0.6604385128693995	0.8336943441636584	0.0	0.0
CDH1	2649	0.020202020202020204	0.16161616161616166	0.1111111111111111	0.5757575757575758	0.030303030303030307	0.9856984995803544	0.101010101010101	0.030303030303030307	0.6735372679286248	0.9099761982666844	0.6547575757575758	0.0	19.0	32.333333333333336	0.0	0.4101722723543889	0.5512715340442986	0.5622847137480593	924095.5	240.0	0.03016505	0.0003955852118762588	86.0	0.018	0.9279999999999999	0.05400000000000005	0.946	2	1	2	0.9798856053384176	0.9999046711153481	0.0	0.0	0.0	0.0
DNMT3A	2739	0.01834862385321101	0.08256880733944955	0.07339449541284404	0.6376146788990825	0.22935779816513766	0.8387147187796697	0.14678899082568808	0.041284403669724766	0.6391677955221745	0.3573830492562165	0.8676559633027521	0.0	27.8	42.8	0.0	0.0	0.0	2.402585092994044e-09	330147.4	286.0	0.04312737	0.00031546415607376166	52.0	0.252	0.692	0.05600000000000005	0.944	2	1	1	0.090371782650143	0.7707317073170733	0.00047664442326024784	0.006756756756756756	0.0	0.0
APC	8532	0.02008032128514056	0.21686746987951808	0.004016064257028112	0.5461847389558233	0.012048192771084338	0.9950670065032784	0.1927710843373494	0.02008032128514056	0.6361960872354324	0.5593898465010889	0.7230200803212853	0.0	22.66666666666667	40.66666666666666	0.0	0.9903794762159271	0.5344735435595938	0.8660607279955597	247810.8	399.0	0.0275499	0.0011859180647700938	137.0	0.014000000000000002	0.925	0.06099999999999994	0.9390000000000001	2	1	2	0.9880838894184938	0.9999046711153481	0.0	0.0	0.0	0.0
IDH1	1245	0.02127659574468085	0.007092198581560284	0.007092198581560284	0.9219858156028368	0.8226950354609929	0.12858036511573145	0.0425531914893617	0.0	0.1859096745649283	0.4209000995025381	0.843120567375886	0.0	32.5	34.5	0.9823182711198428	0.0	0.0	2.402585092994044e-09	260367.1	539.0	0.0167467	0.00012959342493239543	50.0	0.852	0.08499999999999999	0.06300000000000006	0.9369999999999999	1	1	1	0.0	0.0	0.4677788369876073	0.7226804123711341	0.0	0.0
STK11	1302	0.07407407407407407	0.08641975308641975	0.037037037037037035	0.5432098765432098	0.037037037037037035	0.98020570041023	0.2222222222222222	0.037037037037037035	0.7115721907691136	0.5862176919902045	0.7149753086419752	0.0	6.2857142857142865	10.714285714285714	0.0016699999999999998	0.46982	0.00196	0.00735776843809828	2214581.0	234.0	0.02882151	0.00023589050730346103	41.0	0.043	0.893	0.06399999999999995	0.936	2	1	2	0.8571020019065777	0.9999046711153481	0.0	0.0	0.0	0.0
HRAS	570	0.016393442622950817	0.0	0.0	0.9508196721311476	0.639344262295082	0.5461152086296281	0.0	0.032786885245901634	0.5626750832818137	0.36536531929406896	0.774131147540984	0.0	29.0	30.0	1.0	0.0	0.0	2.402585092994044e-09	1970020.0	236.0	0.0415969	0.000264187431653256	65.0	0.8939999999999999	0.04	0.06600000000000006	0.9339999999999999	1	1	1	0.0	0.0	0.7427073403241182	0.868561872909699	0.0	0.0
TSC1	3495	0.010752688172043013	0.13978494623655913	0.06451612903225806	0.5913978494623656	0.0	1.0	0.15053763440860216	0.04301075268817205	0.7065404566681767	0.7888819230887091	0.6434193548387097	0.0	27.5	46.0	1e-05	1.0	0.3921568627450979	0.7592522977138568	1919595.0	461.0	0.03330065	9.03933306208628e-05	40.0	0.01	0.922	0.06799999999999995	0.932	2	1	2	0.9940896091515731	0.9999046711153481	0.0	0.0	0.0	0.0
U2AF1	723	0.0	0.012195121951219513	0.012195121951219513	0.902439024390244	0.7560975609756098	0.3718703257514105	0.0	0.07317073170731707	0.4089321110398113	0.26880593790659457	0.8466341463414633	0.0	74.0	82.0	0.9328358208955224	0.0	0.0	2.402585092994044e-09	687432.8	279.0	0.05882527	0.00018079938250284568	114.0	0.8779999999999999	0.054000000000000006	0.06800000000000006	0.9319999999999999	1	1	1	0.0	0.0	0.6416587225929457	0.8208536585365853	0.0	0.0
EZH2	2256	0.043478260869565216	0.06956521739130435	0.034782608695652174	0.6782608695652174	0.2	0.8320246860803433	0.13043478260869565	0.034782608695652174	0.7005032097773832	0.3138232087680641	0.8186695652173914	0.008695652173913044	13.0	18.33333333333333	0.034529194433893864	0.0	0.0	2.402585092994044e-09	564320.8	434.0	0.01332411	0.0014027857644103884	244.0	0.32199999999999995	0.608	0.07000000000000006	0.9299999999999999	2	1	1	0.03860819828408008	0.42631578947368426	0.0019065776930409914	0.02040816326530612	0.0	0.0
ZRSR2	1449	0.01818181818181818	0.18181818181818185	0.01818181818181818	0.2909090909090909	0.0	1.0	0.2545454545454545	0.2363636363636364	0.4773103739171305	0.8893892084294999	0.8254909090909092	0.0	8.0	27.0	1e-05	1.0	0.4122011541632317	0.7775118757303621	170722.4	446.80162767039667	0.0468746	0.00024940143892524945	39.0	0.005	0.924	0.07099999999999995	0.929	2	1	0	0.9989513822688274	0.9999046711153481	0.0	0.0	0.0	0.0
CDKN2A	504	0.04639175257731959	0.3762886597938144	0.02577319587628866	0.26804123711340205	0.08247422680412371	0.832457633718898	0.23195876288659795	0.04639175257731959	0.3553147337792915	0.6577576322794039	0.8762474226804122	0.005154639175257732	5.2	18.5	0.0	5e-05	0.27205	0.0001660220077791705	225404.5	357.0	-0.01478296	0.0009592487914759703	141.0	0.015000000000000003	0.914	0.07099999999999995	0.929	2	1	2	0.9845567206863679	0.9999046711153481	0.0	0.0	0.0	0.0
PHF6	1098	0.0	0.23404255319148934	0.0425531914893617	0.3617021276595745	0.0	1.0000000000000002	0.2978723404255319	0.02127659574468085	0.4806591940012642	0.3953232878353529	0.9652127659574468	0.0425531914893617	17.0	47.0	2e-05	1.0	0.11622501162250115	0.3663676442823667	271271.8	446.80162767039667	0.04694914	1.5442524432006545e-05	36.0	0.007000000000000001	0.9199999999999999	0.07300000000000006	0.9269999999999999	2	1	2	0.9979027645376548	0.9999046711153481	0.0	0.0	0.0	0.0
KIT	2931	0.02962962962962963	0.014814814814814815	0.007407407407407408	0.9111111111111112	0.4222222222222222	0.7108599112981066	0.0	0.037037037037037035	0.7160579807215899	0.6008992982558131	0.6452148148148154	0.0	24.6	26.2	1.0	0.0	0.0	2.402585092994044e-09	92734.38	649.0	0.0004208712	0.0001933754910323454	40.0	0.8649999999999999	0.062	0.07300000000000018	0.9269999999999998	1	1	1	0.0	0.0	0.5938036224976168	0.7945153061224489	0.0	0.0
KMT2C	14736	0.00966183574879227	0.1642512077294686	0.04830917874396135	0.5990338164251208	0.014492753623188406	0.9944859383828928	0.15942028985507245	0.01932367149758454	0.6814562320225878	0.7794765670721691	0.6344637681159421	0.0	41.333333333333336	68.33333333333333	0.0	0.3667153284671533	0.291970802919708	0.34629392888104904	261374.9	616.0	0.01604219	1.6975057496031e-05	20.0	0.017	0.907	0.07599999999999996	0.924	2	1	2	0.9799809342230696	0.9999046711153481	0.0	0.0	0.0	0.0
PTPN11	1782	0.024096385542168683	0.0	0.012048192771084338	0.927710843373494	0.5421686746987951	0.7764128523719749	0.03614457831325301	0.0	0.7809787883790857	0.3581150764774674	0.7421325301204817	0.0	25.66666666666667	27.0	0.999000999000999	0.0	0.0	2.402585092994044e-09	704590.3	167.0	0.04306151	0.0013369690164258955	109.0	0.819	0.10200000000000001	0.07900000000000007	0.9209999999999999	1	1	1	0.0	0.0	0.3798856053384175	0.6479674796747967	0.0	0.0
MYC	1365	0.030303030303030307	0.0	0.0	0.9393939393939394	0.24242424242424246	0.8918730944717431	0.0	0.030303030303030307	0.8548212838430039	0.4867942562432739	0.5339848484848484	0.0	20.666666666666668	21.33333333333333	1.0	0.0	0.0	2.402585092994044e-09	406323.4	204.0	0.02340164	0.008950527720993426	569.0	0.841	0.079	0.08000000000000007	0.9199999999999999	1	1	0	0.0	0.0	0.4983794089609152	0.7447293447293448	0.0	0.0
MAP2K1	1182	0.03389830508474576	0.01694915254237288	0.0	0.8135593220338984	0.4406779661016949	0.7854738841244793	0.03389830508474576	0.1016949152542373	0.7586279315933743	0.3367296246866875	0.7366779661016948	0.0	16.0	19.0	0.9671179883945842	0.0	0.0	2.402585092994044e-09	506284.5	172.0	0.04311826	0.00016969326506546014	53.0	0.8469999999999999	0.072	0.08100000000000018	0.9189999999999998	1	1	1	0.0	0.0	0.5426120114394661	0.7691891891891892	0.0	0.0
SMAD4	1659	0.0	0.12903225806451613	0.010752688172043013	0.7311827956989247	0.3548387096774194	0.7483302296832061	0.08602150537634409	0.04301075268817205	0.6572892344208155	0.3333446727818528	0.8985161290322579	0.0	68.0	93.0	0.023669759515243333	0.0	0.0	2.402585092994044e-09	156084.0	422.0	0.04070356	0.003260252450020355	198.0	0.215	0.7010000000000001	0.08399999999999996	0.916	2	1	2	0.14089609151572927	0.9180124223602484	0.0003813155386081983	0.005555555555555556	0.0	0.0
PIK3R1	2175	0.027272727272727268	0.045454545454545456	0.045454545454545456	0.4	0.08181818181818183	0.9183662919002668	0.18181818181818185	0.3	0.5451684958148616	0.4683723319039547	0.8345	0.0	11.0	26.75	0.019233358336699168	1e-05	0.01005	1.7198673649994502e-06	48999.0	619.0	0.03218191	0.001518352667570067	136.0	0.11399999999999999	0.7989999999999999	0.08700000000000008	0.9129999999999999	2	1	2	0.434509056244042	0.9999046711153481	9.532888465204957e-05	0.0016129032258064514	0.0	0.0
XPO1	3216	0.0	0.06666666666666668	0.04444444444444445	0.8222222222222222	0.4	0.6236175848080564	0.04444444444444445	0.0	0.6101340166472762	0.2631004378294325	0.8236888888888889	0.022222222222222227	37.0	45.0	0.005379999999999999	0.0	0.00061	1.2148136010117926e-07	842390.4	442.0	0.04223522	0.0018399942340479526	194.0	0.487	0.425	0.08800000000000008	0.9119999999999999	1	1	0	0.006005719733079123	0.10327868852459017	0.017826501429933268	0.11761006289308175	0.0	0.0
STAT3	2313	0.05	0.05	0.0	0.85	0.4	0.7648095973219647	0.016666666666666666	0.03333333333333333	0.7685214731015453	0.3969961661862353	0.6689	0.0	12.75	14.25	0.9578544061302682	0.0	0.00182	3.4255756522011874e-07	2140948.0	160.0	0.03204235	0.0018674267702047207	175.0	0.781	0.126	0.09299999999999997	0.907	1	1	0	0.0	0.0	0.2716873212583413	0.5428571428571428	0.0	0.0
B2M	360	0.0	0.16	0.04	0.26	0.18	0.7092034116701387	0.36	0.0	0.35092274158172865	1.2629159958222311	1.05988	0.18	13.0	50.0	0.0	0.0	0.00027	5.5971037972627546e-08	673122.0	428.0	0.03622573	3.998140923543063e-05	21.0	0.043	0.8619999999999999	0.09500000000000008	0.9049999999999999	2	1	2	0.8571020019065777	0.9999046711153481	0.0	0.0	0.0	0.0
KMT2B	8148	0.1	0.09	0.01	0.45	0.0	1.0	0.32	0.03	0.6459402302823664	0.6472541023887998	0.63774	0.0	4.090909090909091	8.181818181818182	0.00014	1.0	0.5733944954128439	0.8923058058983875	1151198.0	321.0	0.02960975	2.0616631680764154e-05	28.0	0.006	0.8950000000000001	0.09899999999999987	0.9010000000000001	2	1	0	0.9983794089609151	0.9999046711153481	0.0	0.0	0.0	0.0
DICER1	5769	0.028571428571428567	0.06428571428571428	0.03571428571428571	0.7071428571428572	0.2357142857142857	0.8351575065309447	0.12857142857142856	0.03571428571428571	0.7176666516872732	0.4751100634869295	0.7089357142857143	0.0	19.8	27.2	0.03482015390508026	0.0	0.00032	6.579236808685027e-08	215900.2	674.0	0.01608616	0.00035167882654224677	56.0	0.309	0.592	0.09899999999999998	0.901	2	1	0	0.0444232602478551	0.4637254901960785	0.0025738798856053385	0.025233644859813085	0.0	0.0
